slug,name,area,category,source_type,source_title,program_name,creator_name,episode_title,broadcast_date,video_url,has_appearance,place_id,trust_kind,trust_source_name,trust_title,trust_url,trust_date,status,priority,backfill_candidate,notes
sungsik-gwangalli-jinmi-eonyang-bulgogi,진미언양불고기,광안리,고기,youtube,성시경의 먹을텐데,성시경의 먹을텐데,성시경,,2022-09-02,https://www.youtube.com/watch?v=MvX_vWtm8P0,yes,8093058,youtube,성시경의 먹을텐데,,https://www.youtube.com/watch?v=MvX_vWtm8P0,2022-09-02,READY,P1,YES,
sungsik-nampodong-jungang-gomtang,중앙곰탕,남포동,한식,youtube,성시경의 먹을텐데,먹을텐데,성시경,,2025-07-08,https://youtu.be/k9pte2X-4NA,yes,16035745,youtube,먹을텐데,,https://youtu.be/k9pte2X-4NA,2025-07-08,READY,P1,YES,
sungsik-seomyeon-yanggopchang,문화양곱창,서면,한식,youtube,성시경 먹을텐데,먹을텐데,성시경,부산 곱창 원정대,2025-01-20,https://youtube.com/@sungsikyung,yes,8988183,youtube,먹을텐데,부산 곱창 원정대,https://youtube.com/@sungsikyung,2025-01-20,READY,P1,YES,
tzuyang-gangseo-samseong-galmijogae,삼성갈미조개,기타,회/해산물,youtube,쯔양,,,명지 갈삼구이 먹방,,https://www.busan.com/view/busan/view.php?code=2025081316134398280,yes,21843973,youtube,쯔양,명지 갈삼구이 먹방,https://www.busan.com/view/busan/view.php?code=2025081316134398280,,REVIEW,P1,no,"program/creator 미상, source_title만"
tzuyang-gwangalli-darijip,다리집,광안리,분식/길거리,youtube,쯔양,,,부산 3대 떡볶이 투어,,https://www.busan.com/view/busan/view.php?code=2025080714534416582,yes,8849564,youtube,쯔양,부산 3대 떡볶이 투어,https://www.busan.com/view/busan/view.php?code=2025080714534416582,,REVIEW,P1,no,"program/creator 미상, source_title만"
tzuyang-haeundae-chopilsal,초필살돼지구이 해운대본점,해운대,고기,youtube,쯔양,쯔양,,부산 먹방 여행 1편,2022-07-09,https://www.youtube.com/watch?v=0wqmQV3-DZg,yes,27485287,youtube,쯔양,부산 먹방 여행 1편,https://www.youtube.com/watch?v=0wqmQV3-DZg,2022-07-09,READY,P1,YES,
tzuyang-haeundae-ppalgan-tteokbokki,빨간떡볶이,해운대,분식/길거리,youtube,쯔양,쯔양,쯔양,부산 3대 떡볶이 투어 1번째,2025-06-25,https://www.youtube.com/watch?v=9tkT6z80_ro,yes,20522414,youtube,쯔양,부산 3대 떡볶이 투어 1번째,https://www.youtube.com/watch?v=9tkT6z80_ro,2025-06-25,READY,P1,YES,
tzuyang-haeundae-sanggukine,상국이네,해운대,분식/길거리,youtube,쯔양,,,부산 3대 떡볶이 투어,,https://www.busan.com/view/busan/view.php?code=2025080714534416582,yes,9089301,youtube,쯔양,부산 3대 떡볶이 투어,https://www.busan.com/view/busan/view.php?code=2025080714534416582,,REVIEW,P1,no,"program/creator 미상, source_title만"
tzuyang-nampo-ssiat-hotteok,남포동 씨앗호떡,남포동,분식/길거리,youtube,쯔양,쯔양,쯔양,부산 길거리 음식 먹방,2024-10-22,https://youtube.com/@tzuyang96,yes,26889472,youtube,쯔양,부산 길거리 음식 먹방,https://youtube.com/@tzuyang96,2024-10-22,READY,P1,YES,
tzuyang-seomyeon-dongchuni-mandu,동춘이만두,서면,분식/길거리,youtube,쯔양,,,당감동 가성비 맛집 먹방,,https://www.busan.com/view/busan/view.php?code=2025081316134398280,yes,27361254,youtube,쯔양,당감동 가성비 맛집 먹방,https://www.busan.com/view/busan/view.php?code=2025081316134398280,,REVIEW,P1,no,"program/creator 미상, source_title만"
tzuyang-yeongdo-dongbang-milmyeon,동방밀면,영도,밀면,youtube,쯔양,,,부산 밀면 먹방,,https://www.busan.com/view/busan/view.php?code=2025080714534416582,yes,8914478,youtube,쯔양,부산 밀면 먹방,https://www.busan.com/view/busan/view.php?code=2025080714534416582,,REVIEW,P1,no,"program/creator 미상, source_title만"
tzuyang-yeongdo-dongsamdong-buljjampong,동삼동불짬뽕,영도,중식,youtube,쯔양,,,영도 불짬뽕 매운맛 도전,,https://www.busan.com/view/busan/view.php?code=2025080714534416582,yes,19041717,youtube,쯔양,영도 불짬뽕 매운맛 도전,https://www.busan.com/view/busan/view.php?code=2025080714534416582,,REVIEW,P1,no,"program/creator 미상, source_title만"
tzuyang-yeonje-yeonji-yanggopchang,연지가양곱창,연제,고기,youtube,쯔양,쯔양,쯔양,부산 먹방투어 1등 맛집,2024-07-10,https://www.youtube.com/watch?v=1ZdP98zOQ7A,yes,1368195059,youtube,쯔양,부산 먹방투어 1등 맛집,https://www.youtube.com/watch?v=1ZdP98zOQ7A,2024-07-10,READY,P1,YES,
wonjo-gaya-milmyeon,원조가야밀면,기타,밀면,tv,SBS 생활의 달인,생활의 달인,,은둔식당 - 가야 밀면 달인,2026-05-25,,yes,505835564,tv,생활의 달인,은둔식당 - 가야 밀면 달인,,2026-05-25,READY,P1,YES,url 없음
