slug,name,input_file,published,had_thumbnail,action,status,width,height,output_file,storage_path,thumbnail_before,thumbnail_after,cache_busted,note
sokssiwonhan-daegutang-haeundae,속씨원한 대구탕 해운대 본점,sokssiwonhan-daegutang-haeundae.jpg,true,false,new,uploaded_new,1024,1280,sokssiwonhan-daegutang-haeundae.webp,restaurants/sokssiwonhan-daegutang-haeundae/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/sokssiwonhan-daegutang-haeundae/main.webp,no,
sungsik-gaegeum-milmyeon,개금 밀면 본점,sungsik-gaegeum-milmyeon.jpg,true,false,new,uploaded_new,880,784,sungsik-gaegeum-milmyeon.webp,restaurants/sungsik-gaegeum-milmyeon/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/sungsik-gaegeum-milmyeon/main.webp,no,
sungsik-nampodong-jungang-gomtang,중앙곰탕,sungsik-nampodong-jungang-gomtang.jpg,true,false,new,uploaded_new,1280,960,sungsik-nampodong-jungang-gomtang.webp,restaurants/sungsik-nampodong-jungang-gomtang/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/sungsik-nampodong-jungang-gomtang/main.webp,no,
sungsik-seomyeon-yanggopchang,문화양곱창,sungsik-seomyeon-yanggopchang.jpg,true,false,new,uploaded_new,1024,1115,sungsik-seomyeon-yanggopchang.webp,restaurants/sungsik-seomyeon-yanggopchang/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/sungsik-seomyeon-yanggopchang/main.webp,no,
tzuyang-haeundae-chopilsal,초필살돼지구이 해운대본점,tzuyang-haeundae-chopilsal.jpg,true,false,new,uploaded_new,900,1200,tzuyang-haeundae-chopilsal.webp,restaurants/tzuyang-haeundae-chopilsal/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/tzuyang-haeundae-chopilsal/main.webp,no,
tzuyang-haeundae-ppalgan-tteokbokki,빨간떡볶이,tzuyang-haeundae-ppalgan-tteokbokki.jpg,true,false,new,uploaded_new,1023,1280,tzuyang-haeundae-ppalgan-tteokbokki.webp,restaurants/tzuyang-haeundae-ppalgan-tteokbokki/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/tzuyang-haeundae-ppalgan-tteokbokki/main.webp,no,
tzuyang-haeundae-sanggukine,상국이네,tzuyang-haeundae-sanggukine.jpg,true,false,new,uploaded_new,1280,1280,tzuyang-haeundae-sanggukine.webp,restaurants/tzuyang-haeundae-sanggukine/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/tzuyang-haeundae-sanggukine/main.webp,no,
tzuyang-seomyeon-dongchuni-mandu,동춘이만두,tzuyang-seomyeon-dongchuni-mandu.jpg,true,false,new,uploaded_new,900,1200,tzuyang-seomyeon-dongchuni-mandu.webp,restaurants/tzuyang-seomyeon-dongchuni-mandu/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/tzuyang-seomyeon-dongchuni-mandu/main.webp,no,
tzuyang-yeongdo-dongbang-milmyeon,동방밀면,tzuyang-yeongdo-dongbang-milmyeon.jpg,true,false,new,uploaded_new,1024,1280,tzuyang-yeongdo-dongbang-milmyeon.webp,restaurants/tzuyang-yeongdo-dongbang-milmyeon/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/tzuyang-yeongdo-dongbang-milmyeon/main.webp,no,
tzuyang-yeongdo-dongsamdong-buljjampong,동삼동불짬뽕,tzuyang-yeongdo-dongsamdong-buljjampong.jpg,true,false,new,uploaded_new,996,780,tzuyang-yeongdo-dongsamdong-buljjampong.webp,restaurants/tzuyang-yeongdo-dongsamdong-buljjampong/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/tzuyang-yeongdo-dongsamdong-buljjampong/main.webp,no,
tzuyang-yeonje-yeonji-yanggopchang,연지가양곱창,tzuyang-yeonje-yeonji-yanggopchang.jpg,true,false,new,uploaded_new,900,1200,tzuyang-yeonje-yeonji-yanggopchang.webp,restaurants/tzuyang-yeonje-yeonji-yanggopchang/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/tzuyang-yeonje-yeonji-yanggopchang/main.webp,no,
